time,name,age,company name,company label,amount
5/7/2017 23:04,Jennifer Strickland,50,Louis Vuitton,Clothing,89.28
5/7/2017 23:04,Jennifer Strickland,50,Balenciaga,Clothing,118.37
5/7/2017 23:04,Jennifer Strickland,50,"Shiseido Company, Limited",Beauty,262.48
5/7/2017 23:03,Jennifer Strickland,50,PILOT CORPORATION,Stationery,175.33
5/7/2017 23:04,Jennifer Strickland,50,BB Liquidating Inc,Media,196.1
5/7/2017 23:04,Jennifer Strickland,50,Rainbow Department Store Company Limited,Grocery,77.25
5/7/2017 23:04,Jennifer Strickland,50,Laura Mercier Cosmetics.,Beauty,85.93
5/7/2017 23:03,Jennifer Strickland,50,Sizzler,Dining,193.55
5/7/2017 23:03,Jennifer Strickland,50,Rainbow Department Store Company Limited,Grocery,90.3
5/7/2017 23:04,Jennifer Strickland,50,Liberty Stationery Corp.Â ,Stationery,223.22
5/7/2017 23:04,Mitchell Carter,43,"Tarena International, Inc.",Education,171.53
5/7/2017 23:03,Christopher Sullivan,44,McGraw-Hill Education,Education,295.11
5/7/2017 23:04,Christopher Sullivan,44,Maped SAS,Stationery,191.03
5/7/2017 23:03,Christopher Sullivan,44,Walt Disney Company,Entertainment,31.21
5/7/2017 23:03,Christopher Sullivan,44,Ocean Park Hong Kong ,Entertainment,105.76
5/7/2017 23:04,Christopher Sullivan,44,Nike,Clothing,172.73
5/7/2017 23:03,Christopher Sullivan,44,Principal Financial Group Inc,Investment,243.96
5/7/2017 23:04,Christopher Sullivan,44,"Crackle, Inc.",Media,184.79
5/7/2017 23:03,Christopher Sullivan,44,Stifel Financial Corporation,Investment,132.52
5/7/2017 23:03,Christopher Sullivan,44,"The Dairy Farm Company, Limited",Grocery,107.7
5/7/2017 23:04,Christopher Sullivan,44,Tesco PLC,Grocery,94.74
5/7/2017 23:04,Christopher Sullivan,44,Home Box Office Inc.,Media,51.5
5/7/2017 23:03,Christopher Sullivan,44,"Redbox Automated Retail, LLC.Â ",Media,250.36
5/7/2017 23:04,Christopher Sullivan,44,"Shenzhen Comix Stationery Co., Ltd.",Stationery,245.4
5/7/2017 23:04,Christopher Sullivan,44,Rifle Paper Co.,Stationery,27.36
5/7/2017 23:04,Christopher Sullivan,44,Principal Financial Group Inc,Investment,121.82
5/7/2017 23:03,Christopher Sullivan,44,Xbox,Entertainment,161.47
5/7/2017 23:03,Christopher Sullivan,44,Air China Airlines,Transport,87.83
5/7/2017 23:03,Christopher Sullivan,44,Nike,Clothing,267.53
5/7/2017 23:03,Christopher Sullivan,44,Colourmix Cosmetics Company Limited,Beauty,27.02
5/7/2017 23:04,Christopher Sullivan,44,TCF Financial Corporation,Investment,195.17
5/7/2017 23:03,Christopher Sullivan,44,"Netflix, Inc.Â ",Media,189.65
5/7/2017 23:03,Christopher Sullivan,44,"Netflix, Inc.Â ",Media,281.86
5/7/2017 23:03,Christopher Sullivan,44,Burger King,Dining,42.69
5/7/2017 23:04,Christopher Sullivan,44,Pacific Coffee Company,Dining,90.79
5/7/2017 23:03,Christopher Sullivan,44,Faber-Castell,Stationery,78.37
5/7/2017 23:04,Christopher Sullivan,44,H&M Hennes & Mauritz AB,Clothing,129.49
5/7/2017 23:04,Christopher Sullivan,44,PARKnSHOP Supermarket HK.,Grocery,287.43
5/7/2017 23:03,Christopher Sullivan,44,edX Inc.,Education,135.01
5/7/2017 23:04,Christopher Sullivan,44,Open Learning Global Pty Ltd.,Education,155.37
5/7/2017 23:04,Christopher Sullivan,44,Nintendo,Entertainment,40.05
5/7/2017 23:04,Christopher Sullivan,44,Nike,Clothing,286.07
5/7/2017 23:04,Christopher Sullivan,44,Colourmix Cosmetics Company Limited,Beauty,146.17
5/7/2017 23:03,Christopher Sullivan,44,Hong Kong Dragon Airlines Ltd,Transport,119.4
5/7/2017 23:04,Christopher Sullivan,44,Superdry,Clothing,101.72
5/7/2017 23:04,Christopher Sullivan,44,Uber,Transport,300.63
5/7/2017 23:04,Christopher Sullivan,44,Spotify AB,Media,19.04
5/7/2017 23:04,Christopher Sullivan,44,Balenciaga,Clothing,35.06
5/7/2017 23:04,Christopher Sullivan,44,Spotify AB,Media,182.52
5/7/2017 23:04,Christopher Sullivan,44,The UrbanTaxi,Transport,134.92
5/7/2017 23:04,Andrew Carroll,50,Walt Disney Company,Entertainment,281.88
5/7/2017 23:04,Andrew Carroll,50,Rifle Paper Co.,Stationery,163.79
5/7/2017 23:04,Andrew Carroll,50,Sumitomo Mitsui Financial Group Inc,Investment,87.53
5/7/2017 23:04,Andrew Carroll,50,Xbox,Entertainment,182.65
5/7/2017 23:03,Andrew Carroll,50,KKBOX,Media,145.22
5/7/2017 23:04,Andrew Carroll,50,Schwan-STABILO Group,Stationery,199.9
5/7/2017 23:04,Andrew Carroll,50,Adidas,Clothing,64.21
5/7/2017 23:04,Andrew Carroll,50,Webster Financial Corporation,Investment,16.6
5/7/2017 23:04,Andrew Carroll,50,"The PNC Financial Services Group, Inc.",Investment,23.32
5/7/2017 23:04,Andrew Carroll,50,A.S. Watson Group (Hong Kong) Ltd.,Grocery,185.32
5/7/2017 23:03,Andrew Carroll,50,Ryze Ultimate Trampoline Park Hong Kong,Entertainment,231.5
5/7/2017 23:04,Andrew Carroll,50,L'Oreal SA,Beauty,73.03
5/7/2017 23:03,Andrew Carroll,50,Chinese TAL Education Group,Education,45.74
5/7/2017 23:03,Andrew Carroll,50,GAP,Clothing,16.94
5/7/2017 23:04,Andrew Carroll,50,Adidas,Clothing,37.43
5/7/2017 23:03,Andrew Carroll,50,QQ Music,Media,16.29
5/7/2017 23:04,Andrew Carroll,50,"Redbox Automated Retail, LLC.Â ",Media,95.39
5/7/2017 23:03,Andrew Carroll,50,Pacific Coffee Company,Dining,118.05
5/7/2017 23:04,Andrew Carroll,50,Neway Karaoke Box Limited,Entertainment,215.82
5/7/2017 23:04,Andrew Carroll,50,"Voya Financial, Inc.",Investment,252.82
5/7/2017 23:04,Andrew Carroll,50,G2000,Clothing,29.69
5/7/2017 23:04,Andrew Carroll,50,J. Crew,Clothing,92.83
5/7/2017 23:03,Andrew Carroll,50,"Voya Financial, Inc.",Investment,285.02
5/7/2017 23:04,Andrew Carroll,50,Yoshinoya,Dining,288.59
5/7/2017 23:04,Andrew Carroll,50,Nike,Clothing,136.34
5/7/2017 23:03,Andrew Lambert,18,"Tarena International, Inc.",Education,165.42
5/7/2017 23:04,Andrew Lambert,18,Faber-Castell,Stationery,74.1
5/7/2017 23:04,Andrew Lambert,18,American Eagle Outfitters Inc,Clothing,169.62
5/7/2017 23:03,Andrew Lambert,18,Memrise Inc.,Education,278.73
5/7/2017 23:04,Andrew Lambert,18,"2U, Inc.",Education,152.15
5/7/2017 23:04,Andrew Lambert,18,Zara,Clothing,190.04
5/7/2017 23:03,Andrew Lambert,18,Nike,Clothing,237.51
